buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5000.0,5.0,1000.0,137.89674175855532,51.56080605555846,5000,5000.0,19.394578218460083
6000.0,6.0,1000.0,230.90123476625314,132.38253747757645,6000,6000.0,26.948445558547974
7000.0,7.0,1000.0,148.33679774778673,130.0546031605071,7000,7000.0,34.63752484321594
8000.0,8.0,1000.0,124.7658189491611,132.86261436554463,8000,8000.0,42.16409707069397
9000.0,9.0,1000.0,134.7728346826239,123.01973191444043,9000,9000.0,50.29287505149841
10000.0,10.0,1000.0,120.73079785693353,123.29764065575833,10000,10000.0,58.40333080291748
11000.0,11.0,1000.0,115.81326844142,57.69761255257183,11000,11000.0,75.73507118225098
12000.0,12.0,1000.0,87.84776038626192,128.91789478136138,12000,12000.0,83.49194693565369
13000.0,13.0,1000.0,112.32570850988495,127.6065645989553,13000,13000.0,91.32853555679321
14000.0,14.0,1000.0,33.5817863531048,127.7886970528438,14000,14000.0,99.15395450592041
15000.0,15.0,1000.0,113.86434670710743,123.66598792896332,15000,15000.0,107.24025273323059
